,Time Stamp,Window,Suration
0,2020-05-14 15:11:02.058370,abc,0
1,2020-05-14 15:11:03.071987,,11
2,2020-05-14 15:11:14.086298,HM3H - Capcity - Excel,17
3,2020-05-14 15:11:31.098990,Meet - Capacity Overview Review session - Google Chrome,3
4,2020-05-14 15:11:34.105939,,1
5,2020-05-14 15:11:35.110937,HM3H - Capcity - Excel,3
6,2020-05-14 15:11:38.121264,,5
7,2020-05-14 15:11:43.129749,HM3H - Capcity - Excel,110
8,2020-05-14 15:13:33.191441,Meet - Capacity Overview Review session - Google Chrome,41
9,2020-05-14 15:14:14.219377,,2
10,2020-05-14 15:14:16.225625,HM3H - Capcity - Excel,72
11,2020-05-14 15:15:28.267419,Meet - Capacity Overview Review session - Google Chrome,113
12,2020-05-14 15:17:21.339705,,3
13,2020-05-14 15:17:24.346010,HM3H - Capcity - Excel,2
14,2020-05-14 15:17:26.352996,Meet - Capacity Overview Review session - Google Chrome,56
15,2020-05-14 15:18:22.389067,HM3H - Capcity - Excel,149
16,2020-05-14 15:20:51.476204,Meet - Capacity Overview Review session - Google Chrome,5
17,2020-05-14 15:20:56.483861,C:\Users\manishsin\Desktop\AWaRe.exe,1
18,2020-05-14 15:20:57.488922,,1
19,2020-05-14 15:20:58.496336,HM3H - Capcity - Excel,263
20,2020-05-14 15:25:21.656958,,1
21,2020-05-14 15:25:22.662567,Meet - Capacity Overview Review session - Google Chrome,2
22,2020-05-14 15:25:24.672855,"Inbox (3,751) - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome",6
23,2020-05-14 15:25:30.682348,Plant Operation Schedule - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,4
24,2020-05-14 15:25:34.688721,"Inbox (3,750) - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome",2
25,2020-05-14 15:25:36.695096,"Fwd: Webinar Series : Leak test : CTS, Innomatec, Sciemetric - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome",25
26,2020-05-14 15:26:01.713945,"Inbox (3,749) - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome",2
27,2020-05-14 15:26:03.720770,Re: Assembly Capacity - Frame and Engine for HM5V Line 1 & Line 2 - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,23
28,2020-05-14 15:26:26.766905,,2
29,2020-05-14 15:26:28.772789,HM3H - Capcity - Excel,11
30,2020-05-14 15:26:39.792327,,2
31,2020-05-14 15:26:41.802658,Re: Assembly Capacity - Frame and Engine for HM5V Line 1 & Line 2 - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,2
32,2020-05-14 15:26:43.808853,,2
33,2020-05-14 15:26:45.816724,HM3H - Capcity - Excel,15
34,2020-05-14 15:27:00.827510,,1
35,2020-05-14 15:27:01.834820,HM3H - Capcity - Excel,2
36,2020-05-14 15:27:03.844510,,1
37,2020-05-14 15:27:04.849928,HM3H - Capcity - Excel,2
38,2020-05-14 15:27:06.860049,,4
39,2020-05-14 15:27:10.870827,HM3H - Capcity - Excel,4
40,2020-05-14 15:27:14.933110,Re: Assembly Capacity - Frame and Engine for HM5V Line 1 & Line 2 - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,1
41,2020-05-14 15:27:15.938599,,1
42,2020-05-14 15:27:16.947589,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,1
43,2020-05-14 15:27:17.951904,Microsoft Excel,2
44,2020-05-14 15:27:19.961516,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,1
45,2020-05-14 15:27:20.968821,,2
46,2020-05-14 15:27:22.977044,File Explorer,3
47,2020-05-14 15:27:25.985456,Opening - Excel,1
48,2020-05-14 15:27:26.991616,,1
49,2020-05-14 15:27:28.001426,HM3H - Capcity - Excel,11
50,2020-05-14 15:27:39.017006,,1
51,2020-05-14 15:27:40.029017,HM3H - Capcity - Excel,67
52,2020-05-14 15:28:47.074327,Re: Assembly Capacity - Frame and Engine for HM5V Line 1 & Line 2 - manish2.singh@heromotocorp.com - Hero MotoCorp Ltd. Mail - Google Chrome,1
53,2020-05-14 15:28:48.079777,Meet - Capacity Overview Review session - Google Chrome,5
54,2020-05-14 15:28:53.094722,HM3H - Capcity - Excel,32
55,2020-05-14 15:29:25.119492,,2
56,2020-05-14 15:29:27.127992,HM3H - Capcity - Excel,38
57,2020-05-14 15:30:05.154353,,1
58,2020-05-14 15:30:06.162733,HM3H - Capcity - Excel,150
59,2020-05-14 15:32:36.240642,,2
60,2020-05-14 15:32:38.253430,HM3H - Capcity - Excel,55
61,2020-05-14 15:33:33.288745,Meet - Capacity Overview Review session - Google Chrome,4
62,2020-05-14 15:33:37.308305,HM3H - Capcity - Excel,93
63,2020-05-14 15:35:10.357060,Meet - Capacity Overview Review session - Google Chrome,77
64,2020-05-14 15:36:27.403138,,2
65,2020-05-14 15:36:29.428370,Meet - Capacity Overview Review session - Google Chrome,5
66,2020-05-14 15:36:34.438296,,1
67,2020-05-14 15:36:35.443956,HM3H - Capcity - Excel,16
68,2020-05-14 15:36:51.460763,Meet - Capacity Overview Review session - Google Chrome,22
69,2020-05-14 15:37:13.476384,HM3H - Capcity - Excel,1
70,2020-05-14 15:37:14.482956,,1
71,2020-05-14 15:37:15.490255,File Explorer,3
72,2020-05-14 15:37:18.498251,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,1
73,2020-05-14 15:37:19.511074,Meet - Capacity Overview Review session - Google Chrome,3
74,2020-05-14 15:37:22.516542,,1
75,2020-05-14 15:37:23.521599,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,22
76,2020-05-14 15:37:45.540121,Meet - Capacity Overview Review session - Google Chrome,1
77,2020-05-14 15:37:46.547001,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,20
78,2020-05-14 15:38:06.567886,Meet - Capacity Overview Review session - Google Chrome,8
79,2020-05-14 15:38:14.591570,meet.google.com is sharing your screen.,1
80,2020-05-14 15:38:15.603934,,1
81,2020-05-14 15:38:16.625601,02_Draft ABP_FY 21_Rev _02_16Apr 2020 (57.3 Dom+2.1 GB)_V2_Updated_19042020 - Excel,150
82,2020-05-14 15:40:46.706160,Meet - Capacity Overview Review session - Google Chrome,18
83,2020-05-14 15:41:04.738506,,2
84,2020-05-14 15:41:06.744737,HM3H - Capcity - Excel,2
85,2020-05-14 15:41:08.750417,,4
86,2020-05-14 15:41:12.757469,File Explorer,2
87,2020-05-14 15:41:14.763160,,1
88,2020-05-14 15:41:15.768237,ABZA Packahing Working June-July R7 - Excel,14
89,2020-05-14 15:41:29.793767,HM3H - Capcity - Excel,2
90,2020-05-14 15:41:31.808388,,1
91,2020-05-14 15:41:32.816422,HM3H - Capcity - Excel,79
92,2020-05-14 15:42:51.866056,Meet - Capacity Overview Review session - Google Chrome,28
93,2020-05-14 15:43:19.889068,HM3H - Capcity - Excel,18
94,2020-05-14 15:43:37.904512,,1
95,2020-05-14 15:43:38.910352,Date and Time Information,2
96,2020-05-14 15:43:40.919285,HM3H - Capcity - Excel,72
97,2020-05-14 15:44:52.964782,,1
98,2020-05-14 15:44:53.972468,Meet - Capacity Overview Review session - Google Chrome,34
